parameterization_id,iteration_number,sim_id,likelihood,ART Link Max,ART Link Mid,All: Infmrl Condoms Late,All: LOW Risk,All: Trns Condoms Late,Base Infectivity,Circumcision Reduced Acquire,Infmrl Condoms Late,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Infrml Dur Het,Male To Female Old,Male To Female Young,Max Infmrl F LOW,Max Infmrl F MED,Max Infmrl M LOW,Max Infmrl M MED,Max Mrtl F ME,Max Mrtl M ME,Max Trns F LOW,Max Trns F MED,Max Trns M LOW,Max Trns M MED,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,Pr Ex Infmrl Fem LOW,Pr Ex Infmrl Fem MED,Pr Ex Infmrl Male LOW,Pr Ex Infmrl Male MED,Pr Ex Trns Fem LOW,Pr Ex Trns Fem MED,Pr Ex Trns Male LOW,Pr Ex Trns Male MED,PreART Link Max,PreART Link Mid,PreART Link Min,Risk Assortivity,SeedYr HIGH,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Trns Condom Late,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,run_number
71,33,cfb1dbb0-cf02-e911-a2bd-c4346bcb1555,95.80332073,0.979492614,2005.885363,0.608832585,0.940655912,0.228069408,0.001496465,0.6,0.44810365,0.001045179,1998.620886,1.883491262,0.719247739,2.060815999,2.922624674,1.756969092,0.915880421,1.738880878,0.805598729,1.297256513,0.920316728,1.498200793,3.078731626,1.469225339,2.957373862,0.204423044,1995.040297,3.714335228,0.000113611,0.096034876,0.401779688,0.417442555,0.376040759,0.07734737,0.577136864,0.188962412,0.605665992,0.850257691,1998.904197,0.655070918,0.488521982,1991,0.076296202,16.6239822,0.051379717,16.49332764,0.627734931,2005.326086,2.022613046,0.001413331,47589
72,47,b9c67c69-6a0e-e911-a2bd-c4346bcb1555,95.8028182,0.978556009,2005.880183,0.601024814,0.949242248,0.1369181,0.001568545,0.6,0.340737852,0.00083931,1998.519073,2.261937008,0.677375938,2.557018969,3.131227531,1.599669168,0.930210543,1.63456741,0.734526984,1.154750884,1.006371983,1.577788506,3.131281836,1.535286239,2.906111988,0.200324061,1993.5652,3.47667781,0.00010597,0.126581925,0.378586719,0.563298441,0.387939551,0.054798151,0.660923349,0.08539652,0.670652734,0.981838345,1998.470142,0.635445534,0.431321329,1991,0.038721505,16.61672599,0.031928835,16.38744744,0.652374839,2007.618248,1.943997747,0.001387025,41964
73,32,014a71d2-0702-e911-a2bd-c4346bcb1555,95.80249389,1,2005.788374,0.644073323,0.936156904,0.201456411,0.001465709,0.6,0.391202033,0.00093224,1998.892912,1.934960253,0.690488392,2.266629014,3.401431039,1.764527997,0.939328919,1.728363536,0.813058985,1.297836935,0.9,1.482531871,3.03047698,1.510086648,2.963588489,0.208058956,1994.249394,3.858575461,0.000113324,0.08134567,0.38176976,0.410318303,0.383770978,0.080762549,0.573947048,0.17273827,0.605273322,0.849475464,1998.214382,0.592156285,0.442733761,1991,0.060046011,16.41806505,0.039828061,16.4561177,0.617921302,2007.019522,1.990737886,0.001333457,33182
74,48,206c0e77-790e-e911-a2bd-c4346bcb1555,95.80237707,0.967429379,2005.523104,0.600321657,0.951732574,0.14250341,0.001469005,0.6,0.345772361,0.000900077,1998.092384,2.245159275,0.717276333,2.808603197,3.281123111,1.666210787,0.935738986,1.672785043,0.761847226,1.066358258,0.9522769,1.538949986,3.17351257,1.597653488,2.852969139,0.202057209,1993.55629,3.348189976,0.000101206,0.136165253,0.390628721,0.503234156,0.361080095,0.059187577,0.682008118,0.106324974,0.709899972,0.979484914,1998.457051,0.709030079,0.47452926,1991,0.044599604,16.76072343,0.041642957,16.31226853,0.650110951,2006.952194,1.914264686,0.001451319,57022
75,33,9c35f86d-d002-e911-a2bd-c4346bcb1555,95.80182518,1,2005.793756,0.609733823,0.930176775,0.239189803,0.001518825,0.6,0.447737938,0.000936933,1998.129037,1.888919429,0.709773422,2.314517745,3.208971694,1.740914698,0.932848843,1.725334429,0.681424984,1.276404256,0.9,1.478348607,2.931562175,1.477201866,3.062493731,0.213620137,1995.315735,3.701788955,0.00011053,0.089334473,0.393274605,0.463235749,0.379062273,0.07222872,0.594081604,0.185086854,0.587045552,0.810496268,1998.404971,0.621464715,0.475010936,1991,0.075968683,16.45502079,0.066187318,16.59805582,0.657869287,2006.668481,1.996540071,0.001267566,13195
76,48,6c57e3b9-7c0e-e911-a2bd-c4346bcb1555,95.80175277,0.956948306,2005.942777,0.637115747,0.951865888,0.154071406,0.00165801,0.6,0.308233525,0.000905018,1997.918827,2.341935661,0.712933581,2.599732931,2.919222173,1.618100431,0.874345891,1.662596603,0.722036319,1.142454784,1.03211086,1.524564438,3.197808598,1.538312009,2.901346237,0.185642125,1993.290165,3.465651177,0.000104436,0.130388545,0.401376373,0.549676581,0.381309482,0.05372054,0.644241163,0.060880627,0.679580189,0.991649225,1998.325357,0.674718857,0.43005846,1991,0.047969093,16.83760126,0.039804512,16.6197438,0.636499674,2006.871088,2.03596404,0.001493991,29538
77,38,e55145ad-f803-e911-a2bd-c4346bcb1555,95.80166215,1,2006.357588,0.637696492,0.92373681,0.216490461,0.001444019,0.6,0.373572417,0.000761072,1997.168452,2.08923932,0.668734223,2.348302718,2.728432523,1.657435113,0.880705937,1.733527327,0.769428763,1.236368207,0.927337526,1.502602912,3.13075974,1.439239887,3.125790147,0.200923623,1994.653742,3.589254513,0.000104438,0.06015501,0.400850916,0.432157706,0.390525161,0.065281466,0.564506133,0.156121295,0.576203071,0.924288219,1997.63741,0.659028861,0.486568804,1991,0.067640475,16.29808445,0.059256085,16.15914226,0.598707194,2006.103299,1.771519575,0.001244551,64076
78,49,9ab025d2-8a0e-e911-a2bd-c4346bcb1555,95.80138196,0.991305594,2005.733494,0.576106008,0.956553395,0.14486776,0.00174826,0.6,0.306200724,0.000830452,1998.602635,2.254125134,0.675431085,2.52145932,2.92939864,1.66167285,0.920282511,1.636667023,0.766389881,1.054136152,1.030301049,1.503182337,3.226262395,1.501273334,2.908922418,0.192638312,1993.620489,3.465936765,0.000103456,0.140222672,0.384944927,0.543275061,0.363097186,0.066715612,0.660857675,0.074933493,0.67460491,0.958661121,1999.140249,0.682358641,0.454075014,1991,0.036981761,16.65697906,0.037792155,16.28639714,0.689992032,2007.108068,2.009457895,0.001437664,10879
79,44,f30ea6f8-a10a-e911-a2bd-c4346bcb1555,95.80135341,1,2005.857751,0.596209233,0.938928895,0.145392079,0.001516458,0.6,0.404725832,0.000876649,1999.321298,2.277301073,0.705609156,2.510771213,2.877298367,1.57954068,0.986016072,1.695570798,0.729469442,1.137363246,0.927732886,1.483744248,3.072670895,1.465314512,3.16332665,0.161235282,1993.845454,3.4629245,0.00012074,0.072632834,0.370252566,0.529215418,0.371319581,0.053571362,0.604376958,0.124657182,0.611020857,0.96829758,1997.866691,0.635782851,0.385685759,1991,0.063522519,16.92506261,0.043956854,16.1371017,0.657397714,2008.187851,2.135480179,0.001316649,46003
80,43,1e6e9dd3-8d0a-e911-a2bd-c4346bcb1555,95.80110806,1,2006.137439,0.58240688,0.946656525,0.101234208,0.001611771,0.6,0.388784307,0.000803046,1999.291067,2.110377639,0.711166164,2.520851194,2.464653527,1.540049482,0.932337107,1.676853916,0.712046159,1.16057848,0.9,1.495806717,3.154582253,1.486792347,2.90316923,0.167902403,1994.25301,3.157791199,0.000109627,0.070815652,0.395819398,0.529178483,0.362292182,0.054165622,0.638183682,0.121459007,0.654044708,1,1997.31167,0.675703924,0.446542727,1991,0.054032726,16.80648129,0.033623243,16.27020551,0.610955347,2006.490942,2.186009559,0.00132947,15752
81,35,a72d027b-6f03-e911-a2bd-c4346bcb1555,95.799916,1,2005.902135,0.645666546,0.930329661,0.227624759,0.001554428,0.6,0.414168075,0.000884932,1998.436965,2.114307437,0.689777369,2.145351991,2.977487238,1.682537612,0.852240352,1.77438678,0.874860147,1.279781791,0.936068178,1.531599784,2.973339723,1.429340233,2.858498198,0.195707461,1995.310918,3.618541751,0.00011047,0.089604336,0.424967836,0.42018766,0.38122396,0.066777397,0.589080818,0.16513764,0.564828863,0.897845868,1998.638128,0.607295151,0.513023809,1991,0.057393746,16.53517149,0.041326163,16.617778,0.600763412,2005.629434,2.064528133,0.001394771,58491
82,34,f82b3ee5-1403-e911-a2bd-c4346bcb1555,95.79958265,1,2005.954864,0.615553974,0.936520109,0.228920446,0.0015762,0.6,0.367004195,0.000739854,1999.255499,1.9387752,0.644491886,2.231503276,2.730769069,1.666417831,0.81807984,1.834822193,0.754867474,1.310826535,0.972184104,1.49647159,3.120679625,1.481914191,2.99782742,0.183014278,1994.968228,3.480207813,0.000109878,0.079542974,0.40401783,0.406724192,0.384731439,0.063863513,0.544215723,0.172219616,0.575536112,0.864551788,1999.041538,0.674420069,0.490382197,1991,0.054333298,16.53430523,0.044637288,16.54894137,0.618728455,2006.171127,1.9329755,0.001406924,34087
83,39,961bfd8b-0b04-e911-a2bd-c4346bcb1555,95.79956542,1,2005.953986,0.655163565,0.916275675,0.195347941,0.001373194,0.6,0.371097552,0.000543675,1996.721339,1.98217194,0.656782131,2.361542234,2.363832807,1.565854168,0.920935763,1.75659699,0.852974036,1.178771541,0.910574113,1.512747421,3.047147344,1.507162348,3.103766332,0.183727996,1994.62868,3.675534133,0.000108838,0.038007057,0.36225191,0.490930839,0.389053565,0.058515534,0.547767162,0.196838148,0.582793794,0.978029612,1996.952651,0.702218601,0.439651357,1991,0.082748203,16.35171023,0.045173688,16.24352396,0.577633754,2006.917374,1.7015695,0.001280973,34665
